

RunID,N,Sampler,Utilities,Mu,Lambda,NumFuncEvals,Time,Fitness
1,2,CholeskyCovarSampler,log_utilities,2,4,1000000,20.592624631,4.930380657631324e-32
1,2,CholeskyCovarSampler,log_utilities,1,8,1000000,7.8930427,0.0
1,2,CholeskyCovarSampler,log_utilities,1,8,1000000,8.183091836,0.0
1,2,CholeskyCovarSampler,log_utilities,2,8,1000000,11.264891978,0.0
1,2,CholeskyCovarSampler,log_utilities,3,8,1000000,12.191354934,0.0
1,2,CholeskyCovarSampler,log_utilities,4,8,1000000,13.181791598,0.0
1,2,CholeskyCovarSampler,log_utilities,1,16,1000000,5.238679796,0.0
1,2,CholeskyCovarSampler,log_utilities,2,16,1000000,6.818119428,0.0
1,2,CholeskyCovarSampler,log_utilities,3,16,1000000,6.92158671,0.0
1,2,CholeskyCovarSampler,log_utilities,6,16,1000000,7.463574107,0.0
1,2,CholeskyCovarSampler,log_utilities,8,16,1000000,7.552615639,0.0
1,4,EigenCovarSampler,linear_utilities,1,8,1000,0.009596261,2.301129550189789
1,4,EigenCovarSampler,linear_utilities,1,8,1000,0.008882189,0.0015191872868902763
1,4,EigenCovarSampler,linear_utilities,2,8,1000,0.010776491,0.9180806844553581
1,4,EigenCovarSampler,linear_utilities,3,8,1000,0.009604817,3.2167050205497953
1,4,EigenCovarSampler,linear_utilities,4,8,1000,0.020855396,0.008871102196940438
1,4,EigenCovarSampler,linear_utilities,1,7,1001,0.010798855,0.14669067075221098
1,4,EigenCovarSampler,linear_utilities,1,7,1001,0.006558478,2.245474802999774
1,4,EigenCovarSampler,linear_utilities,1,7,1001,0.006414655,1.1000445605137692
